unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,prtvgde1,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
DE_50387,DE,50387,0.9958686,0.33043048,2.9929698,0.98896843,59,1,3,10,7,1,1,0,6,2,5,1,2,3,0,0,0,0,0,10,0,0,10,10,10,0,0,0,10,3,4,4,10,10
DE_50396,DE,50396,0.9958686,0.23839964,2.9929698,0.7135229,28,1,4,16,2,2,1,0,2,2,3,1,2,1,2,7,6,7,6,8,5,8,8,7,6,5,9,7,7,1,1,1,8,8
DE_50420,DE,50420,0.99586856,4.342649,2.9929698,12.997417,75,1,3,11,4,4,1,3,6,2,4,1,7,3,5,3,3,2,2,3,2,4,1,5,8,5,7,7,6,2,2,2,8,8
DE_50431,DE,50431,0.9958686,3.0600314,2.9929698,9.158582,66,2,2,13,2,3,1,4,6,3,7,2,66,3,5,2,2,1,1,7,2,5,3,6,8,7,4,5,4,3,3,2,8,7
DE_50444,DE,50444,0.9958686,1.0346941,2.9929698,3.096808,58,2,3,12,88,4,1,5,1,3,2,1,2,3,5,1,4,3,1,6,1,3,2,3,5,5,4,2,3,2,2,2,7,5
DE_50491,DE,50491,0.99586856,2.3774114,2.9929698,7.1155205,22,2,2,16,88,4,1,3,6,3,2,1,4,3,5,6,4,4,2,2,6,5,6,3,3,4,7,6,5,2,2,1,5,5
DE_50495,DE,50495,0.9958686,0.30392653,2.9929698,0.9096429,21,1,4,15,3,3,1,7,6,1,6,1,88,2,5,8,9,7,7,9,8,9,8,3,7,4,5,7,5,2,2,4,9,10
DE_50543,DE,50543,0.9958686,0.20382348,2.9929698,0.6100375,48,2,3,15,6,4,1,7,6,1,4,1,4,2,0,6,9,4,4,10,6,9,5,5,6,5,7,8,6,2,2,2,8,8
DE_50544,DE,50544,0.9958687,4.011296,2.9929698,12.005687,79,2,2,11,5,4,1,10,6,3,6,1,88,3,5,5,3,5,5,7,5,7,7,2,4,3,5,5,5,2,2,3,8,9
DE_50552,DE,50552,0.99586856,0.18998666,2.9929698,0.5686243,61,1,7,18,10,3,1,7,6,3,6,1,1,1,7,3,8,3,4,9,1,6,0,4,6,7,5,5,5,2,2,2,9,9
DE_50553,DE,50553,0.99586856,0.33043048,2.9929698,0.98896843,60,1,5,16,8,2,1,7,6,3,2,1,1,1,6,5,8,5,0,9,0,7,2,5,5,7,7,5,4,3,4,4,8,8
