unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
PL_94064,PL,94064,0.91672194,0.71442205,2.155714,1.5400896,30,2,7,18,7,3,1,7,6,2,3,1,2,5,2,3,0,0,4,5,3,2,4,4,6,4,5,5,3,3,4,8,8
PL_77869,PL,77869,0.8919918,1.0522273,2.155714,2.268301,27,2,7,6,77,3,1,8,6,2,4,1,2,4,6,5,4,4,7,6,6,7,7,6,6,6,6,88,2,2,3,8,8
PL_55920,PL,55920,1.068033,1.0881201,2.155714,2.3456757,26,2,6,17,7,3,1,4,2,3,4,1,3,6,5,4,4,4,5,4,4,5,5,5,6,4,6,5,2,3,1,7,7
PL_57996,PL,57996,1.0813186,0.61244243,2.155714,1.3202507,34,2,7,18,77,3,1,5,6,2,4,1,3,5,5,5,5,5,6,5,6,5,3,6,4,6,6,5,2,2,7,5,5
PL_70336,PL,70336,0.89628506,1.0943651,2.155714,2.3591383,41,1,4,12,8,3,1,1,2,2,2,1,1,88,6,6,2,3,7,8,8,9,6,7,3,10,10,7,2,3,4,6,7
PL_75407,PL,75407,0.9351353,0.7693969,2.155714,1.6585997,56,1,3,19,88,1,1,5,6,2,3,1,2,5,1,1,0,0,2,0,5,5,8,5,1,0,0,5,2,2,1,10,5
PL_59074,PL,59074,0.92335176,0.8824438,2.155714,1.9022965,45,1,3,14,6,1,1,6,2,2,3,1,3,10,0,0,0,0,0,0,5,5,5,7,5,5,0,5,3,4,1,9,8
PL_51651,PL,51651,0.9005534,1.2439657,2.155714,2.6816344,57,1,7,20,2,1,1,3,6,2,2,1,3,88,2,5,0,0,3,0,0,2,3,2,0,8,4,4,2,2,3,8,10
PL_91783,PL,91783,1.0443135,1.6150993,2.155714,3.4816923,65,1,2,11,77,3,1,6,6,2,6,1,3,3,5,3,3,3,5,5,5,4,5,5,3,5,5,5,3,3,3,6,6
PL_88688,PL,88688,0.9351353,0.6423192,2.155714,1.3846565,46,1,4,5,2,1,1,5,6,2,5,3,3,5,0,1,0,0,4,5,1,1,5,3,5,3,7,6,2,2,2,8,8
PL_50881,PL,50881,1.0560368,1.1786077,2.155714,2.5407412,69,1,2,11,2,3,1,3,6,3,4,2,4,7,7,6,7,7,6,6,8,6,5,6,6,6,2,7,4,4,2,6,7
PL_56447,PL,56447,0.9036066,0.7104443,2.155714,1.5315148,50,2,4,20,6,1,1,0,2,1,7,1,1,3,5,7,4,5,8,6,6,0,8,8,7,7,8,7,2,2,2,9,8
PL_81746,PL,81746,1.0433729,0.82033294,2.155714,1.7684033,47,2,7,17,6,4,1,8,6,2,5,1,3,8,7,7,6,6,8,5,7,6,5,5,7,6,6,5,4,4,4,8,8
PL_63349,PL,63349,1.0577334,1.037877,2.155714,2.237366,17,1,2,10,7,4,1,10,6,2,7,3,3,3,5,0,0,4,3,4,6,5,4,7,6,0,3,6,2,4,2,6,10
PL_71377,PL,71377,1.1392065,1.929189,2.155714,4.1587796,57,1,6,14,77,3,1,8,6,3,2,1,2,5,3,1,1,1,1,2,3,5,5,5,5,5,5,5,2,2,1,5,5
PL_87410,PL,87410,0.92361283,1.1617727,2.155714,2.5044498,67,2,7,17,9,2,1,7,6,4,3,1,3,5,9,2,8,5,4,7,10,10,8,1,7,7,8,5,2,2,2,10,10
PL_67795,PL,67795,1.0589713,0.8136847,2.155714,1.7540716,54,2,2,8,4,4,1,6,6,2,2,2,4,88,1,1,1,1,5,1,5,3,5,5,5,5,5,5,2,3,2,10,10
PL_52327,PL,52327,1.0193801,1.2977378,2.155714,2.7975516,77,1,3,14,5,3,1,10,6,4,2,1,2,8,6,4,5,5,7,4,8,8,6,7,3,88,2,6,4,4,1,5,9
PL_87784,PL,87784,1.1693556,1.4662561,2.155714,3.160829,17,1,4,13,10,3,1,7,2,2,7,2,3,88,5,5,4,5,4,6,5,4,6,8,6,4,5,5,2,3,1,9,10
PL_91122,PL,91122,0.9903111,1.2173747,2.155714,2.6243117,63,2,5,14,4,3,1,5,1,3,2,1,2,5,5,5,1,1,7,0,7,5,1,8,5,88,5,2,3,3,3,8,8
PL_78958,PL,78958,1.0611498,0.8601281,2.155714,1.8541902,18,2,2,11,77,4,1,8,6,1,4,3,4,7,7,7,4,4,8,88,8,88,10,10,10,0,0,4,4,4,1,10,9
PL_95503,PL,95503,1.0644792,0.61008394,2.155714,1.3151666,27,2,4,12,5,4,1,5,6,1,3,1,2,3,4,4,3,3,8,5,3,2,5,6,7,5,7,5,3,3,3,10,9
PL_89137,PL,89137,0.8912673,0.8408389,2.155714,1.8126082,27,1,6,12,10,1,1,6,6,1,5,1,1,3,5,6,3,3,6,4,7,4,7,7,6,9,9,9,1,2,2,8,8
PL_92221,PL,92221,1.0813186,0.7128262,2.155714,1.5366495,34,1,4,14,6,3,1,6,6,2,3,1,2,10,6,5,5,5,3,3,5,5,7,7,7,8,7,8,2,1,3,8,8
PL_58747,PL,58747,0.89704525,0.83258516,2.155714,1.7948155,31,1,4,17,10,1,1,0,6,2,5,1,2,2,5,3,1,3,3,3,7,5,6,2,3,5,7,7,2,2,4,7,7
PL_76348,PL,76348,0.97002655,0.92026675,2.155714,1.983832,45,2,7,18,77,3,1,10,6,3,2,1,2,6,3,3,3,3,3,0,4,2,1,4,4,0,0,0,4,4,5,4,4
PL_54604,PL,54604,1.0433729,0.8481468,2.155714,1.828362,22,2,4,16,5,4,1,7,6,2,7,1,2,10,2,5,0,0,6,0,5,4,5,6,0,3,5,3,2,2,4,10,8
PL_59318,PL,59318,1.0443135,1.1092523,2.155714,2.3912308,39,2,3,12,3,4,1,10,1,4,1,1,4,5,0,0,0,0,4,0,88,88,0,0,0,1,7,88,2,2,8,0,0
PL_70757,PL,70757,1.0531778,1.0562408,2.155714,2.2769532,66,2,6,15,77,4,1,9,6,2,2,1,2,6,9,8,7,7,9,9,6,2,9,9,9,0,0,5,4,3,1,9,9
